Level 1 Sets,Code
Large Hydro PP,"??HY*,!??HYMI*"
VRE,"??WD*,??SOP*"
Other RE,"??HYMI*,??SOT*,??BMST*,??GO*"
Fossil&Nuclear PP,"??CO*,??DS*,??HF*,??NG*,??NUPW*,??ELBS00*"
Electricity Net Imports,??EL00i00*
Hydrogen Plant,??HGNEL*
Electricity for Hydrogen,??ELHGT*
Non Hydro Storage,"????ST*,!*B?ST*"
Fuel Imports/Extraction,"??????i00,??????x00,??????I00,??????X00,!??EL00i00"
Dom.T&D,"??EL00T00*,??EL00TD*"
Demand,??EL00TU*
TxBorder,"??ELEX*,??ELNC*,??ELNP*,??ELNG*"
Electricity Trade Outside Region,"??EL00i00*,!??EL00i00"
